,Unnamed: 0,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank,community
0,16,nm0000247,John Woo,"director,writer,producer",0.0001472241554687,0.0001127273984058,0.0710149941356644,0.0044249470018386,0.0189249731728444,nm0000247
1,12,nm0007139,Hark Tsui,"director,producer,writer",0.0001793457893891,2.2322806094640003e-05,0.0669871616297487,0.0046297169207904,0.0179546367865057,nm0007139
2,146,nm0690638,Carlo Ponti,producer,6.424326784089e-05,0.0008914001455147,0.0675571324219972,0.0015454871622632,0.017514565749404,nm0690638
3,2321,nm1212988,Dean Georgaris,writer,4.015204240055001e-05,0.0001304989469343,0.0694480431069339,0.0001944953077733,0.0174532973510105,nm1212988
4,164,nm0151835,Terence Chang,producer,0.0001017185074147,4.330871638696e-05,0.068137437458508,0.0014312675997023,0.017428433070503,nm0151835
5,2344,nm0857623,Paul Theroux,writer,3.7475239573850005e-05,9.396413127318e-05,0.0671132269562928,0.0001923877075134,0.0168592635086633,nm0857623
6,2724,nm0285126,Lloyd Fonvielle,writer,4.282884522726e-05,0.0004911859373074,0.0664791980979312,0.000164162454065,0.0167943438336327,nm0285126
7,127,nm0950553,Ronny Yu,"director,producer",8.833449328122e-05,3.194174938588e-05,0.0653624516549913,0.0016733554012199,0.0167890208247195,nm0950553
8,4564,nm1447370,Don Granger,producer,4.282884522726e-05,0.0001078350189813,0.0667412094970737,8.228097485524001e-05,0.0167435385840344,nm1447370
9,1628,nm0140643,Jean-Claude Carrière,writer,7.495047914770001e-05,0.000130976071116,0.0663874295991291,0.0002743404300431,0.016716924144859,nm0140643
10,1423,nm0108273,Mike Werb,writer,6.692007066759e-05,5.4064735824340006e-05,0.066205171369461,0.0003093564174663,0.0166588781483548,nm0108273
11,63,nm0159494,Raymond Chow,producer,0.0001472241554687,1.0564889384763887e-05,0.0637605400122729,0.00255012618056,0.0166171138094216,nm0159494
12,2305,nm0001392,Peter Jackson,"director,producer",6.156646501418001e-05,0.0001401256954289,0.0659644007618331,0.0001962205577774,0.0165905783700134,nm0001392
13,1035,nm0604555,Chris Morgan,writer,6.692007066759e-05,3.09842877769e-05,0.0658142917468211,0.0003960699009509,0.0165770665015541,nm0604555
14,95,nm0477035,Corey Yuen,"director,producer,writer",0.0001124257187215,1.3182307109967575e-05,0.0641752577319587,0.0019551048996279,0.0165639926643545,nm0477035
15,1690,nm0346096,Tonino Guerra,writer,6.959687349429e-05,0.0001868923047821,0.0649879540400296,0.0002660320099445,0.0163776188070626,nm0346096
16,114,nm0950759,Woo-Ping Yuen,director,9.368809893463e-05,8.302518384701017e-06,0.0635683857518353,0.0017782682139893,0.016362161145786,nm0950759
17,1689,nm0349406,Sebastian Gutierrez,"director,writer",5.353605653407e-05,3.568543023514e-05,0.0650809239168258,0.0002663359128074,0.0163591203291006,nm0349406
18,89,nm0611344,Domonic Muir,writer,6.156646501418001e-05,7.560969501562642e-06,0.0630252289627593,0.0020558846493717,0.0162875602616617,nm0611344
19,467,nm0159039,Felix Chong,"writer,director",5.353605653407e-05,2.040183326278e-05,0.0641943480416459,0.0007060020571702,0.0162435719971532,nm0159039
20,2128,nm0538320,Alan Mak,"director,writer",3.2121633920440005e-05,1.9646143221838867e-05,0.0634801629205008,0.0002145758660866,0.0159366266409324,nm0538320
21,2417,nm0254786,David R. Ellis,director,6.156646501418001e-05,1.8097059988753287e-05,0.0634117673651138,0.0001865292059638,0.0159194900240201,nm0254786
22,159,nm0150906,Gordon Chan,"director,producer,writer",0.0001632849724289,7.13015143306019e-06,0.0620233761256945,0.0014525483329345,0.0159115848956227,nm0150906
23,218,nm0150802,Benny Chan,"director,producer",5.8889662187480005e-05,1.1189958733371547e-05,0.0621957167560856,0.0011761886296282,0.0158604962516586,nm0150802
24,53,nm0788411,Run Run Shaw,producer,0.0001552545639488,3.031209660266e-05,0.0604733710803897,0.0027279051136786,0.0158467107136549,nm0788411
25,5063,nm0742851,Alison R. Rosenzweig,producer,2.409122544033e-05,1.3746646210891569e-05,0.0631325481959342,6.557298226128e-05,0.0158089897624616,nm0742851
26,998,nm0790019,Vee King Shaw,producer,2.409122544033e-05,8.168522649922e-05,0.0626489701426986,0.0004060380558268,0.0157901961626162,nm0790019
27,225,nm0151653,Cheh Chang,director,4.818245088066e-05,7.486315846984e-05,0.0617988501105098,0.0011600576667203,0.0157704883466451,nm0151653
28,3577,nm0597857,Paul Mones,"writer,producer,director",1.6060816960220003e-05,1.2877833495661196e-05,0.0628684544707551,0.0001170888002531,0.015753620480366,nm0597857
29,2966,nm0171718,Michael Colleary,writer,4.015204240055001e-05,1.6059156648283998e-05,0.0627976212683086,0.0001480482556241,0.0157504701807454,nm0171718
30,5127,nm0069893,Tarak Ben Ammar,producer,2.409122544033e-05,3.4554307571700003e-05,0.0627372344390607,6.385654240032e-05,0.0157149341286182,nm0069893
31,8604,nm0345359,John Guare,writer,1.6060816960220003e-05,1.9594459633213477e-05,0.062724142556902,1.481867545768944e-05,0.0156936541272382,nm0345359
32,1455,nm0546672,Antonio Margheriti,director,3.2121633920440005e-05,6.199873593978001e-05,0.0620316047053273,0.0003029921197181,0.0156071792987264,nm0546672
33,667,nm0938944,Barry Wong,writer,9.368809893463e-05,6.927111576849207e-06,0.061674764218348,0.0005614136656797,0.0155841982736348,nm0938944
34,1485,nm0955974,Stuart Zicherman,writer,2.676802826703e-05,8.500687650798753e-06,0.0619859179825595,0.0002972040188627,0.015579597679335,nm0955974
35,640,nm0004214,Bey Logan,writer,5.085925370737e-05,5.323471700282757e-06,0.061616516582473,0.0005740146994891,0.0155616785018424,nm0004214
