,Unnamed: 0,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank,community
0,7,nm0000041,Akira Kurosawa,"writer,director",0.0001686385780823,0.0006696612812078,0.0726812670558568,0.0048720468304825,0.0195979034364073,nm0000041
1,15,nm0393094,Ishirô Honda,"director,writer",0.0002194978317897,0.0011374454279963,0.0711789580514208,0.004540959608452,0.0192692152299147,nm0393094
2,28,nm0644823,Hideo Oguni,writer,0.0001659617752556,0.0003617816448913,0.0701929091500487,0.0034902128991809,0.0185527163673441,nm0644823
3,20,nm0849083,Tomoyuki Tanaka,"producer,writer",0.0002810642968038,0.0004394438100439,0.067653796995201,0.0041731064291951,0.0181368528828109,nm0849083
4,147,nm0215269,Fred Dekker,"writer,director",7.2273676321e-05,9.195497407588e-05,0.0708076728924785,0.0015352921683126,0.018126798427797,nm0215269
5,66,nm0452878,Ryûzô Kikushima,writer,0.0001177793243749,0.0002686016950899,0.069211601878274,0.002429968557618,0.0180069878638392,nm0452878
6,179,nm0368074,Shinobu Hashimoto,writer,0.0001070721130681,0.0004631065634462,0.0691825863939762,0.0013365316964985,0.0177723241917472,nm0368074
7,73,nm0557927,Toshio Masuda,director,0.0001151025215482,0.0001908862277599,0.0683665843514426,0.0023313748287218,0.0177509869823681,nm0557927
8,26,nm0297935,Kinji Fukasaku,director,0.0001820225922158,0.0001529844369255,0.0666397453560739,0.0037694185139825,0.0176860427247994,nm0297935
9,601,nm0402805,Evan Hunter,writer,5.621285936077e-05,0.0007467749939405,0.0681429543025552,0.0005986225641436,0.01738614118,nm0402805
10,518,nm0577477,Ib Melchior,"writer,director",6.692007066759e-05,0.0002769769203951,0.067868749344795,0.0006628764019788,0.0172188806844591,nm0577477
11,1163,nm0765306,Arthur Sarkissian,producer,2.409122544033e-05,8.489831784192e-05,0.0682894768871254,0.0003603702075408,0.0171897091594871,nm0765306
12,834,nm1709264,Dave Callaham,writer,5.353605653407e-05,6.441508998784e-05,0.0680206902125595,0.0004696420416429,0.0171520708501811,nm1709264
13,191,nm0775055,Leonard Schrader,"writer,director",5.085925370737e-05,0.0001037111692568,0.0670576143163329,0.0012795069507278,0.0171229229225062,nm0775055
14,60,nm0437526,Shûsuke Kaneko,director,9.636490176133e-05,1.830042381378094e-05,0.0651575092709438,0.0025677562116745,0.0169599827020483,nm0437526
15,58,nm0793881,Kaneto Shindô,"writer,director",0.000171315380909,5.815217055982e-05,0.0645127167364209,0.0026052355576056,0.0168368549613738,nm0793881
16,1092,nm0464846,Andrey Konchalovskiy,director,5.353605653407e-05,0.0001074490563935,0.0667915274548239,0.0003792680382117,0.0168329451514908,nm0464846
17,3293,nm0120483,Edward Bunker,writer,2.676802826703e-05,8.798990290012e-05,0.0666851546653143,0.0001324145263815,0.0167330817807157,nm0120483
18,108,nm0856804,Osamu Tezuka,"writer,director",9.368809893463e-05,0.0001495870249256,0.0646678704521879,0.0018364942317808,0.0166869099519572,nm0856804
19,2599,nm0587429,Djordje Milicevic,"writer,director",3.2121633920440005e-05,0.0003691612766904,0.0660731529239972,0.0001721712158374,0.0166616517626113,nm0587429
20,2086,nm1440919,Max Borenstein,writer,4.015204240055001e-05,9.376707899258e-05,0.0660311632067033,0.0002181730216703,0.0165958138374417,nm1440919
21,149,nm0457565,Ryûhei Kitamura,"director,writer",7.495047914770001e-05,1.8442813846852544e-05,0.0644613287173909,0.0015136263625459,0.0165170870932328,nm0457565
22,734,nm0559398,Shûe Matsubayashi,director,0.0001017185074147,0.0001504503739196,0.0650864602344789,0.0005159398701942,0.0164636422465018,nm0559398
23,1077,nm0899113,Jeff Vintar,writer,2.676802826703e-05,2.6690510903080005e-05,0.0651302806819324,0.0003822512052245,0.0163914976065817,nm0899113
24,2552,nm0613609,Takeo Murata,writer,5.085925370737e-05,0.000144420257202,0.065162554100823,0.0001758963532286,0.0163834324912402,nm0613609
25,3247,nm2284484,Gareth Edwards,director,2.676802826703e-05,5.023892596194e-05,0.0652950075642965,0.0001352254375092,0.0163768099890086,nm2284484
26,297,nm0782883,Shin'ichi Sekizawa,writer,0.0001365169441618,0.0001510100410453,0.064120985867205,0.0009656626670001,0.0163435438798531,nm0782883
27,103,nm0945451,Mataichirô Yamamoto,"writer,producer",6.156646501418001e-05,1.9237076186500036e-05,0.0633625946727297,0.0018961113050158,0.0163348773797365,nm0945451
28,133,nm0297772,Sanezumi Fujimoto,producer,0.0002302050430965,0.0001592496905556,0.0632202816901408,0.0016299674393231,0.016309925965779,nm0297772
29,477,nm0361683,Masato Hara,producer,5.085925370737e-05,0.0001651157092939,0.0643312491400791,0.0006882197168232,0.0163088609549759,nm0361683
30,3465,nm0406836,Masato Ide,writer,3.2121633920440005e-05,0.0001873392426318,0.0647988173880907,0.0001228076223895,0.0162852714717581,nm0406836
31,985,nm0454119,Takeshi Kimura,writer,9.636490176133e-05,0.0002740782574248,0.0642855506076276,0.0004105050629764,0.0162666247074475,nm0454119
32,3382,nm0022390,Edward L. Alperson,producer,2.676802826703e-05,0.0005615639549366,0.0642590457575225,0.0001273681166376,0.0162436864643409,nm0022390
33,190,nm0406728,Kon Ichikawa,"director,writer",9.636490176133e-05,3.757734115364e-05,0.0632302560403894,0.0012816145140778,0.0161614531993455,nm0406728
34,749,nm0644543,Ei Ogawa,writer,5.621285936077e-05,0.0001032513100735,0.0639281129653401,0.0005067698597228,0.0161485867486243,nm0644543
35,234,nm0440383,Ryôzô Kasahara,writer,0.0001311633385084,4.21123327878e-05,0.0631595536310627,0.0011383582613837,0.0161177968909356,nm0440383
36,609,nm0645477,Kihachi Okamoto,"director,writer",8.833449328122e-05,0.0001153056744356,0.0636044165325231,0.0005956475529032,0.0161009260632858,nm0645477
37,527,nm0756944,Susumu Saji,writer,6.156646501418001e-05,2.7258506710820003e-05,0.0635578244649518,0.0006580946790528,0.0160761860289324,nm0756944
38,2712,nm0605743,Shirô Moritani,director,5.085925370737e-05,7.760275263512e-05,0.0639801131180441,0.0001652222435824,0.0160684493419922,nm0605743
39,2653,nm0368057,Koji Hashimoto,director,5.085925370737e-05,5.140465862424e-05,0.0638408265127322,0.0001702784634105,0.0160283422221185,nm0368057
40,5689,nm0609404,Sôjirô Motoki,producer,2.409122544033e-05,0.0001752458499251,0.0637827678456396,5.45179997184e-05,0.0160091557301808,nm0609404
41,2775,nm0046416,Jerry A. Baerwitz,"producer,director",2.676802826703e-05,4.921578417118e-05,0.0636847919851082,0.0001603610441048,0.0159802842104128,nm0046416
42,1133,nm0643871,Motoyoshi Oda,director,6.424326784089e-05,0.0001946211112025,0.0632787476880046,0.0003686550037279,0.015976566767694,nm0643871
43,6113,nm0443227,Shigeru Kayama,writer,3.7475239573850005e-05,8.791421773834001e-05,0.0632777961565065,4.489967150716e-05,0.0158620213213314,nm0443227
44,486,nm0633986,Tatsuo Nogami,writer,6.692007066759e-05,1.5204835961152784e-05,0.0625609538534728,0.0006836172511401,0.0158316740028104,nm0633986
45,720,nm0015611,Ryûnosuke Akutagawa,writer,3.2121633920440005e-05,3.4803149296760005e-05,0.0624741120142523,0.0005245169496308,0.015766388436775,nm0015611
46,1517,nm0592758,Yukio Mishima,writer,2.409122544033e-05,2.107215116004e-05,0.0626554997208263,0.0002904264042266,0.0157477723754133,nm0592758
47,373,nm0538632,Masahiro Makino,"director,producer",0.0001311633385084,9.131943768052e-05,0.0617929515418502,0.0008315269801876,0.0157117403245567,nm0538632
48,974,nm0475542,Koreyoshi Kurahara,"writer,director",4.282884522726e-05,1.367351317251724e-05,0.0623606994665085,0.0004162851213509,0.0157083717365648,nm0475542
49,4701,nm0764549,Henry G. Saperstein,producer,2.141442261363e-05,8.495287701152e-05,0.0625465409225692,7.679027212528001e-05,0.0156824246235799,nm0764549
50,888,nm0613547,Akira Murao,writer,7.762728197440001e-05,3.7884887481620005e-05,0.0620192626544733,0.0004479484117934,0.0156456808089306,nm0613547
51,211,nm0619211,Masaichi Nagata,producer,0.0001900530006959,4.276018544878001e-05,0.061148690376721,0.001200944951161,0.0156456121285066,nm0619211
52,1048,nm0464596,Sakyo Komatsu,writer,5.621285936077e-05,7.31485940503e-05,0.062062710164592,0.0003898962375554,0.0156454919638896,nm0464596
53,1541,nm0772006,Oscar Schisgall,writer,1.6060816960220003e-05,0.0008297867189529,0.0613251335261842,0.0002864512670588,0.015614358082289,nm0772006
54,109,nm0496556,John Ledford,producer,0.0001124257187215,5.217998139142e-05,0.0603835584987695,0.0018317193469802,0.0155949708864656,nm0496556
55,1804,nm0645549,Takao Okawara,director,5.8889662187480005e-05,5.714644630354e-05,0.0619973333529771,0.0002501623458094,0.0155908829518193,nm0645549
56,540,nm0946672,Toshio Yasumi,writer,0.0001231329300283,0.00010972400639,0.0614814814814814,0.0006445303671137,0.0155897171962533,nm0946672
57,3424,nm0849474,Senkichi Taniguchi,director,5.621285936077e-05,8.09191983521e-05,0.0618906497040114,0.0001248423616428,0.0155381560308417,nm0849474
