,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
12190,nm1017500,Sang-hoon Ahn,"writer,director",3.2121633920440005e-05,1.7898143846495835e-14,0.2125,0.20294117647058824,0.10386832452613165
12194,nm3146718,Eric England,director,1.338401413351e-05,5.068539005817467e-16,0.15,0.21176470588235297,0.09044452247412174
12195,nm6091305,Craig Walendziak,writer,2.141442261363e-05,2.013737697996739e-15,0.13076923076923078,0.17647058823529413,0.07681530835678513
12188,nm2402050,B. Harrison Smith,"director,writer",2.4091225440330002e-05,5.104193383865264e-15,0.15833333333333333,0.1286549707602339,0.07175309882975317
12185,nm1442694,Brant Sersen,director,1.6060816960220003e-05,2.6480023076772732e-15,0.15789473684210525,0.10736842105263156,0.06631980467792492
12192,nm6482501,Peng Ren,writer,1.338401413351e-05,3.000824572201875e-15,0.14166666666666666,0.08823529411764705,0.057478836199612554
12193,nm4765142,Andy Yoon,writer,1.8737619786920002e-05,1.1753635353242374e-14,0.17586206896551723,0.02647058823529412,0.05058784870515251
6,nm0372942,Ben Hecht,"writer,director",0.0006879383264628701,0.03353967286964946,0.07670895767253635,0.00568721429415128,0.029155945790699994
96,nm0002031,Michael Curtiz,director,0.00051394614272712,0.02340456020236084,0.07246536537484607,0.00195399600818328,0.024584466932029328
59,nm0953123,Darryl F. Zanuck,"producer,writer,director",0.00038545960704534004,0.019969652072258023,0.0742555650647162,0.0025786729567350004,0.02429733742518864
65,nm0851537,Norman Taurog,director,0.00038545960704534004,0.01870735990412254,0.07337320407309246,0.0024301094032664803,0.023724033246881705
141,nm0000581,Joseph L. Mankiewicz,"writer,director,producer",0.00031853953637775,0.01850090557272484,0.07352383614777798,0.0015858337648963598,0.023482278755444234
0,nm0000636,William Shakespeare,writer,0.0003586915787783,0.00530925591663304,0.07657425688524143,0.010427647110383081,0.023167462872758962
142,nm0002030,George Cukor,director,0.00032389314203115004,0.01695974208931394,0.07261479525806283,0.0015777459332648803,0.022869044105668198
196,nm0001328,Howard Hawks,"director,writer",0.00030515552224423,0.017129032398153603,0.07248908296943228,0.0012431089666508801,0.022791594964120247
27,nm0001379,John Huston,"director,writer",0.00039081321269875005,0.0123550045126124,0.07462758033624174,0.0036825151907282404,0.022763978313070282
591,nm0536941,John Lee Mahin,writer,0.000289094705284,0.018223020813989722,0.07108517179634445,0.00060461585114436,0.022550475791690634
293,nm0861703,Richard Thorpe,director,0.00032121633920445,0.016819727950699522,0.0718884798373664,0.00097258048446696,0.02250050115293433
380,nm0000406,John Ford,"director,producer",0.00036136838160501,0.01827542815741542,0.07040311854311834,0.0008243219335390402,0.02246605925391945
130,nm0909825,Raoul Walsh,director,0.00040955083248567003,0.01545443415533106,0.07137393251185155,0.0016512997821806802,0.02222230432046224
292,nm0503777,Mervyn LeRoy,"director,producer",0.00037207559291182004,0.0171610484561949,0.07020871915511286,0.00097871691402352,0.02218014002956077
3,nm0281507,Richard Fleischer,director,0.00027035708549708,0.00415297453444582,0.077342694615731,0.006759908678936961,0.022131483728652715
346,nm0907003,Jerry Wald,"producer,writer",0.00032924674768456004,0.01623474537656562,0.07071189117886757,0.0008714156833383601,0.022036824746614028
308,nm0215877,Roy Del Ruth,director,0.00033995395899138006,0.01568086086660958,0.0706821980163096,0.000944043706462,0.02191176413709314
316,nm0550892,George Marshall,director,0.00032389314203115004,0.01572880132260986,0.07037721491466462,0.0009234576660148001,0.021838341761330107
572,nm0368871,Henry Hathaway,director,0.0002864179024573,0.015595061411296521,0.07039781852248392,0.00061449704674336,0.021723448720745275
1,nm0000339,Roger Corman,"director,producer,writer",0.00030515552224423,0.00186678526875462,0.07697485755050898,0.00762380864356,0.021692651746266958
600,nm0176699,Jack Conway,director,0.00027571069115048003,0.01515701770964032,0.0698248612413198,0.0005990713242575601,0.02146416524159204
84,nm0874308,Dalton Trumbo,"writer,director",0.00035066117029819,0.0095981297590297,0.07374093155293869,0.00208171862653712,0.021442860277200926
704,nm0397022,Sonya Levien,writer,0.00026500347984367,0.015170114760197022,0.06970919301268086,0.00053514141146464,0.02141986316604655
542,nm0886754,W.S. Van Dyke,"director,writer",0.0002864179024573,0.01521271114590494,0.06935990308304694,0.00064144784251808,0.02137511999348182
11,nm0001801,Robert Towne,"writer,director",0.00022485143744311,0.0020172263331990604,0.07850566671330628,0.004697352430553841,0.021361274228625573
368,nm0454771,Henry King,director,0.00024894266288345,0.01374827756549352,0.07044613710554949,0.0008405026350069201,0.021320964992233345
10,nm0000229,Steven Spielberg,"director,producer,writer",0.00032924674768456004,0.00121384373243918,0.07827494163930768,0.004820015453454201,0.021159511893221405
513,nm0502752,Robert Z. Leonard,director,0.00027303388832378,0.0146146653087013,0.06908490937746255,0.0006650962619651201,0.021159426209113187
700,nm0920074,William A. Wellman,"director,writer",0.0002837410996306,0.014590003752696222,0.06897280818213107,0.00054086261451644,0.021096853912243585
5,nm0324875,Menahem Golan,"producer,director,writer",0.00036136838160501,0.00109327860645018,0.0769108454874438,0.00598794389194744,0.021088359091861606
552,nm0332539,Edmund Goulding,"director,writer",0.00024894266288345,0.014037949846976162,0.06920591064953004,0.00063403398495008,0.021031709286084933
662,nm0122446,W.R. Burnett,writer,0.00023823545157663,0.01226176040562696,0.07095512296291298,0.00056411066302572,0.021004807370785573
946,nm0542534,Herman J. Mankiewicz,writer,0.00026500347984367,0.014662294272138242,0.06831885705008522,0.00042511163206975996,0.020917816608534225
