,nconst,name,roles,measure
103,nm0759627,Elie Samaha,producer,0.002168210289630066
104,nm0000697,Billy Wilder,"writer,director",0.002168210289630066
105,nm0000318,Tim Burton,"producer,director,writer",0.002168210289630066
106,nm0216755,Walter DeLeon,writer,0.002168210289630066
107,nm0124877,David Butler,director,0.002168210289630066
108,nm0000881,Michael Bay,"director,producer",0.002141442261363028
109,nm0256542,Randall Emmett,producer,0.002141442261363028
110,nm0750822,Harry Ruskin,writer,0.002141442261363028
111,nm0882927,Christine Vachon,producer,0.002141442261363028
112,nm0000252,Robert Ellis,"director,writer",0.002141442261363028
113,nm0802561,Curt Siodmak,"writer,director",0.002141442261363028
114,nm0560857,W. Somerset Maugham,writer,0.002141442261363028
115,nm0335455,James Edward Grant,"writer,director",0.002141442261363028
116,nm0367060,Edmund L. Hartmann,writer,0.002141442261363028
117,nm0299154,Jules Furthman,writer,0.00211467423309599
118,nm0229424,Edward Dmytryk,director,0.00211467423309599
119,nm0520501,Robert Lord,"writer,producer",0.002087906204828952
120,nm0258015,Ray Enright,"director,writer",0.002087906204828952
121,nm0462895,David Koepp,"writer,director",0.002087906204828952
122,nm0191899,Irving Cummings,director,0.002087906204828952
123,nm0005573,Richard D. Zanuck,producer,0.002087906204828952
124,nm0001628,Sydney Pollack,"producer,director",0.002087906204828952
125,nm0113284,Clarence Brown,"director,producer",0.002087906204828952
126,nm0005563,Irwin Winkler,"producer,director",0.0020611381765619145
127,nm0649183,George Oppenheimer,writer,0.0020611381765619145
128,nm0695937,Otto Preminger,director,0.0020611381765619145
129,nm0326418,Samuel Goldwyn,producer,0.0020611381765619145
130,nm0202681,Delmer Daves,"director,writer",0.0020611381765619145
131,nm0770337,Richard Schayer,writer,0.0020611381765619145
132,nm0797012,Sol C. Siegel,producer,0.0020611381765619145
133,nm0622435,Jack Natteford,writer,0.0020611381765619145
134,nm0485943,Walter Lang,director,0.0020611381765619145
135,nm0950150,Waldemar Young,writer,0.0020611381765619145
136,nm0388755,Samuel Hoffenstein,writer,0.0020611381765619145
137,nm0828419,George Stevens,director,0.0020343701482948766
138,nm0225458,Basil Dickey,writer,0.0020343701482948766
139,nm0337914,Howard J. Green,"writer,producer",0.0020343701482948766
140,nm0524342,Gary Lucchesi,producer,0.0020343701482948766
141,nm0406772,Takashige Ichise,"producer,writer,director",0.0020343701482948766
142,nm0948634,Philip Yordan,writer,0.0020343701482948766
143,nm0001317,Renny Harlin,"director,producer",0.0020076021200278386
144,nm0000600,Sam Raimi,"producer,director,writer",0.0020076021200278386
145,nm0700717,Gertrude Purcell,writer,0.0020076021200278386
146,nm0448915,Erle C. Kenton,director,0.0020076021200278386
147,nm0000127,Wes Craven,"director,writer",0.0020076021200278386
148,nm0829330,Donald Ogden Stewart,writer,0.0020076021200278386
149,nm0001279,William Goldman,writer,0.0020076021200278386
150,nm0371771,Lillie Hayward,writer,0.0020076021200278386
151,nm0498278,Stan Lee,writer,0.0020076021200278386
152,nm0796645,George Sidney,director,0.0020076021200278386
153,nm0337586,Alfred E. Green,director,0.0020076021200278386
154,nm0496468,Charles Lederer,writer,0.0020076021200278386
155,nm0455510,Dorothy Kingsley,writer,0.0019808340917608007
156,nm0002616,Anita Loos,writer,0.0019808340917608007
157,nm0322227,Benjamin Glazer,"writer,producer",0.0019808340917608007
158,nm0236980,Oliver Drake,"writer,director",0.0019808340917608007
159,nm0112189,Paul Brooks,producer,0.0019808340917608007
160,nm0499628,Gladys Lehman,writer,0.0019808340917608007
161,nm0049721,John L. Balderston,writer,0.0019808340917608007
162,nm0624535,Jean Negulesco,"director,writer",0.0019808340917608007
163,nm0242897,Philip Dunne,"writer,director",0.0019808340917608007
164,nm0809548,Paul Gerard Smith,writer,0.0019808340917608007
165,nm0442151,George S. Kaufman,writer,0.0019540660634937627
166,nm0454004,Sidney Kimmel,producer,0.0019540660634937627
167,nm0469915,Norman Krasna,"writer,producer,director",0.0019540660634937627
168,nm0505610,Henry Levin,director,0.0019540660634937627
