,nconst,name,roles,measure
107,nm0580648,Bess Meredyth,writer,0.047352027311417494
108,nm0547446,Edwin L. Marin,director,0.047309248870077814
109,nm0892044,Anthony Veiller,"writer,producer,director",0.04684928372201371
110,nm0840042,A. Edward Sutherland,director,0.046588414011958575
111,nm0258493,Julius J. Epstein,writer,0.04655365933863069
112,nm0258525,Philip G. Epstein,writer,0.046431823679137944
113,nm0293388,Everett Freeman,writer,0.04600233774079547
114,nm0463334,Fred Kohlmar,"producer,writer",0.04563947338840825
115,nm0337914,Howard J. Green,"writer,producer",0.045440776194001095
116,nm0330390,Leon Gordon,writer,0.0453311197698754
117,nm0886861,Dale Van Every,"writer,producer",0.04530636716973599
118,nm0674759,Nat Perrin,"writer,director",0.04527693598983872
119,nm0828419,George Stevens,director,0.04522496547757495
120,nm0288706,Gene Fowler,writer,0.04461482765730818
121,nm0258015,Ray Enright,"director,writer",0.04457070081268473
122,nm0240417,Warren Duff,"writer,producer",0.044194845539031545
123,nm0378540,F. Hugh Herbert,"writer,director",0.04390227057041402
124,nm0191901,Jack Cummings,producer,0.04362237898942828
125,nm0560857,W. Somerset Maugham,writer,0.04360946884155209
126,nm0124002,Niven Busch,writer,0.04344711523802712
127,nm0291548,Sidney Franklin,"director,producer",0.04342870503921429
128,nm0118758,Robert Buckner,"writer,producer",0.043285711498223745
129,nm0710723,Samson Raphaelson,writer,0.04322791551791821
130,nm0276284,Joseph Fields,writer,0.04320361557925907
131,nm0329304,Frances Goodrich,writer,0.0431723988470782
132,nm0352443,Albert Hackett,writer,0.0431723988470782
133,nm0790654,Arthur Sheekman,writer,0.04301146437894134
134,nm0202681,Delmer Daves,"director,writer",0.04296456501511375
135,nm0367060,Edmund L. Hartmann,writer,0.04290007293711358
136,nm0950150,Waldemar Young,writer,0.0426276027612107
137,nm0245385,Allan Dwan,"director,producer,writer",0.042539050948205565
138,nm0896542,King Vidor,"director,writer",0.04251802184144432
139,nm0114602,Rowland Brown,"writer,director",0.04241840420923673
140,nm0000697,Billy Wilder,"writer,director",0.042282155297595145
141,nm0102167,Malcolm Stuart Boylan,writer,0.041819730958692
142,nm0753452,Morrie Ryskind,writer,0.04170496878819873
143,nm0624535,Jean Negulesco,"director,writer",0.04134934923058674
144,nm0093397,Guy Bolton,writer,0.04108211956370014
145,nm0570130,James Kevin McGuinness,writer,0.04100281749096588
146,nm0674169,William Perlberg,producer,0.040982558434588624
147,nm0276252,Herbert Fields,writer,0.04092654196240389
148,nm0920216,George Wells,"writer,producer",0.04081541043485422
149,nm0401680,H. Bruce Humberstone,director,0.04067792217038815
150,nm0416861,Rian James,writer,0.040382005967640036
151,nm0736911,Howard Emmett Rogers,writer,0.04033600005848952
152,nm0172812,Wilson Collison,writer,0.0402943620142675
153,nm0015399,Zoe Akins,writer,0.040170918961772405
154,nm0261455,Howard Estabrook,"writer,director",0.04007376586789686
155,nm0564970,Leo McCarey,"director,writer",0.039990001015083355
156,nm0258288,Henry Ephron,"producer,writer",0.03987189025476411
157,nm0006085,Arthur Freed,producer,0.039865820593101974
158,nm0235066,Gordon Douglas,"director,writer",0.03953224648815575
159,nm0896533,Charles Vidor,director,0.039194082532418226
160,nm0340719,Zane Grey,writer,0.03904390251451288
161,nm0770337,Richard Schayer,writer,0.03880716552451687
162,nm0448915,Erle C. Kenton,director,0.03876579231804353
163,nm0500552,Mitchell Leisen,director,0.03871396761724982
164,nm0914362,Maurine Dallas Watkins,writer,0.03833294923290472
165,nm0732452,Casey Robinson,writer,0.03820498550800093
166,nm0448981,Charles Kenyon,writer,0.038171995563252674
167,nm0426515,Agnes Christine Johnston,writer,0.03815649393241585
168,nm0087533,Henry Blanke,"producer,director",0.03810636155729086
169,nm0789520,Melville Shavelson,"director,writer",0.03809386249475664
170,nm0081788,Earl Derr Biggers,writer,0.03791097781039439
