,Film,In-Degree Centrality,Country,tconst,Year
129,On the Waterfront (1954),0.0023319667506676196,USA,tt0047296,1954
130,Dumbo (1941),0.0023319667506676196,USA,tt0033563,1941
131,The Thing (1982),0.0023319667506676196,USA,tt0084787,1982
132,Annie Hall (1977),0.0022943543837213674,USA,tt0075686,1977
133,Patton (1970),0.0022943543837213674,USA,tt0066206,1970
134,Spider-Man (2002),0.0022567420167751155,USA,tt0145487,2002
135,Peter Pan (1953),0.0022567420167751155,USA,tt0046183,1953
136,Sudden Impact (1983),0.0022191296498288637,USA,tt0086383,1983
137,The Omen (1976),0.0022191296498288637,USA,tt0075005,1976
138,The Sixth Sense (1999),0.0022191296498288637,USA,tt0167404,1999
139,Alice in Wonderland (1951),0.002181517282882612,USA,tt0043274,1951
140,The Wild Bunch (1969),0.002181517282882612,USA,tt0065214,1969
141,Blue Velvet (1986),0.0021439049159363596,USA,tt0090756,1986
142,Rocky III (1982),0.0021439049159363596,USA,tt0084602,1982
143,Spartacus (1960),0.0021439049159363596,USA,tt0054331,1960
144,Breakfast at Tiffany's (1961),0.0021439049159363596,USA,tt0054698,1961
145,Forbidden Planet (1956),0.0021062925489901078,USA,tt0049223,1956
146,My Fair Lady (1964),0.002068680182043856,USA,tt0058385,1964
147,Some Like It Hot (1959),0.002068680182043856,USA,tt0053291,1959
148,The French Connection (1971),0.002068680182043856,USA,tt0067116,1971
149,Mission: Impossible (1996),0.002068680182043856,USA,tt0117060,1996
150,The Little Mermaid (1989),0.002068680182043856,USA,tt0097757,1989
151,Friday the 13th Part 2 (1981),0.002031067815097604,USA,tt0082418,1981
152,Pretty Woman (1990),0.002031067815097604,USA,tt0100405,1990
153,Ferris Bueller's Day Off (1986),0.002031067815097604,USA,tt0091042,1986
154,Independence Day (1996),0.002031067815097604,USA,tt0116629,1996
155,The Ten Commandments (1956),0.002031067815097604,USA,tt0049833,1956
156,The Birth of a Nation (1915),0.002031067815097604,USA,tt0004972,1915
157,Young Frankenstein (1974),0.0019934554481513523,USA,tt0072431,1974
158,X-Men (2000),0.0019934554481513523,USA,tt0120903,2000
159,C'era una volta il West (1968),0.0019934554481513523,USA,tt0064116,1968
160,Bullitt (1968),0.0019934554481513523,USA,tt0062765,1968
161,The Fly (1986),0.0019558430812051,USA,tt0091064,1986
162,Braveheart (1995),0.0019558430812051,USA,tt0112573,1995
163,Indiana Jones and the Last Crusade (1989),0.0019558430812051,USA,tt0097576,1989
164,The House Without a Key (1926),0.0019558430812051,USA,tt0015930,1926
165,Clerks (1994),0.0019558430812051,USA,tt0109445,1994
166,The Three Mesquiteers (1936),0.0019182307142588482,USA,tt0028372,1936
167,Total Recall (1990),0.0019182307142588482,USA,tt0100802,1990
168,Home Alone (1990),0.0019182307142588482,USA,tt0099785,1990
169,Cool Hand Luke (1967),0.0019182307142588482,USA,tt0061512,1967
170,Kill Bill: Vol. 1 (2003),0.0019182307142588482,USA,tt0266697,2003
171,Harry Potter and the Sorcerer's Stone (2001),0.0019182307142588482,USA,tt0241527,2001
172,Swedish Erotica 23 (1981),0.0018806183473125964,USA,tt0188217,1981
173,Ghost (1990),0.0018806183473125964,USA,tt0099653,1990
174,Shichinin no samurai (1954),0.0018806183473125964,Japan,tt0047478,1954
175,From Here to Eternity (1953),0.0018806183473125964,USA,tt0045793,1953
176,Double Indemnity (1944),0.0018806183473125964,USA,tt0036775,1944
177,Saving Private Ryan (1998),0.0018806183473125964,USA,tt0120815,1998
178,Blazing Saddles (1974),0.0018806183473125964,USA,tt0071230,1974
179,The Goonies (1985),0.0018430059803663443,USA,tt0089218,1985
180,Ghost-Town Gold (1936),0.0018430059803663443,USA,tt0027670,1936
181,Swedish Erotica 26 (1981),0.0018430059803663443,USA,tt0188218,1981
182,High Noon (1952),0.0018430059803663443,USA,tt0044706,1952
183,Flashdance (1983),0.0018430059803663443,USA,tt0085549,1983
184,Touch of Evil (1958),0.0018430059803663443,USA,tt0052311,1958
185,Dog Day Afternoon (1975),0.0018430059803663443,USA,tt0072890,1975
186,Black Christmas (1974),0.0018430059803663443,USA,tt0071222,1974
187,An American Werewolf in London (1981),0.0018430059803663443,USA,tt0082010,1981
188,Airplane! (1980),0.0018430059803663443,USA,tt0080339,1980
189,Aladdin (1992),0.0018430059803663443,USA,tt0103639,1992
190,When Harry Met Sally... (1989),0.0018053936134200925,USA,tt0098635,1989
191,Otoko wa tsurai yo (1969),0.0018053936134200925,Japan,tt0064777,1969
192,Armageddon (1998),0.0018053936134200925,USA,tt0120591,1998
193,Basic Instinct (1992),0.0018053936134200925,USA,tt0103772,1992
194,Roarin' Lead (1936),0.0018053936134200925,USA,tt0028194,1936
195,Swedish Erotica 27 (1981),0.0018053936134200925,USA,tt0188219,1981
196,Thelma & Louise (1991),0.0017677812464738406,USA,tt0103074,1991
197,Hit the Saddle (1937),0.0017677812464738406,USA,tt0029004,1937
198,The Incredible Torture Show (1976),0.0017677812464738406,USA,tt0077247,1976
199,Plan 9 from Outer Space (1959),0.0017677812464738406,USA,tt0052077,1959
200,Live Wires (1946),0.0017677812464738406,USA,tt0038699,1946
201,Day of the Woman (1978),0.0017677812464738406,USA,tt0077713,1978
202,The Riders of the Whistling Skull (1937),0.0017677812464738406,USA,tt0029486,1937
203,The Big Lebowski (1998),0.0017677812464738406,USA,tt0118715,1998
204,Swedish Erotica 41 (1981),0.0017677812464738406,USA,tt0189128,1981
205,The War of the Worlds (1953),0.0017677812464738406,USA,tt0046534,1953
206,Wo hu cang long (2000),0.0017677812464738406,"Taiwan,Hong Kong,USA,China",tt0190332,2000
207,Shrek (2001),0.0017677812464738406,USA,tt0126029,2001
208,Zoku otoko wa tsurai yo (1969),0.0017301688795275886,Japan,tt0066607,1969
209,Dirty Dancing (1987),0.0017301688795275886,USA,tt0092890,1987
210,All the President's Men (1976),0.0017301688795275886,USA,tt0074119,1976
211,Lolita (1962),0.0017301688795275886,USA,tt0056193,1962
212,Fantasia (1940),0.0017301688795275886,USA,tt0032455,1940
213,It Happened One Night (1934),0.0017301688795275886,USA,tt0025316,1934
214,Who Framed Roger Rabbit (1988),0.0017301688795275886,USA,tt0096438,1988
215,Swedish Erotica 36 (1981),0.0017301688795275886,USA,tt0197931,1981
216,Serpico (1973),0.0017301688795275886,USA,tt0070666,1973
217,Fatal Attraction (1987),0.0017301688795275886,USA,tt0093010,1987
218,The Last House on the Left (1972),0.0017301688795275886,USA,tt0068833,1972
219,In Fast Company (1946),0.0017301688795275886,USA,tt0038636,1946
220,The Magnificent Seven (1960),0.0017301688795275886,USA,tt0054047,1960
221,The Chinese Parrot (1927),0.0017301688795275886,USA,tt0017752,1927
222,Network (1976),0.0016925565125813368,USA,tt0074958,1976
223,Gunsmoke Ranch (1937),0.0016925565125813368,USA,tt0028971,1937
224,Cinderella (1950),0.0016925565125813368,USA,tt0042332,1950
225,Gladiator (2000),0.0016925565125813368,USA,tt0172495,2000
226,Behind That Curtain (1929),0.0016925565125813368,USA,tt0019684,1929
227,Swedish Erotica 40 (1981),0.0016925565125813368,USA,tt0207772,1981
228,Spook Busters (1946),0.0016925565125813368,USA,tt0038976,1946
229,Bowery Bombshell (1946),0.0016925565125813368,USA,tt0038378,1946
230,Mosura (1961),0.0016925565125813368,Japan,tt0055198,1961
231,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.0016925565125813368,USA,tt0325980,2003
232,Otoko wa tsurai yo: Fûten no Tora (1970),0.0016925565125813368,Japan,tt0125970,1970
233,Swedish Erotica 14 (1981),0.0016549441456350847,USA,tt0222414,1981
234,The Princess Bride (1987),0.0016549441456350847,USA,tt0093779,1987
235,Charlie Chan Carries On (1931),0.0016549441456350847,USA,tt0021733,1931
236,The Frontiersmen (1938),0.0016549441456350847,USA,tt0030161,1938
237,American Beauty (1999),0.0016549441456350847,USA,tt0169547,1999
238,The Blob (1958),0.0016549441456350847,USA,tt0051418,1958
239,"Come on, Cowboys (1937)",0.0016549441456350847,USA,tt0028732,1937
240,Eraserhead (1977),0.0016549441456350847,USA,tt0074486,1977
241,Field of Dreams (1989),0.0016549441456350847,USA,tt0097351,1989
242,Shin otoko wa tsurai yo (1970),0.0016549441456350847,Japan,tt0066370,1970
243,The Black Camel (1931),0.0016173317786888329,USA,tt0021668,1931
244,Mr. Hex (1946),0.0016173317786888329,USA,tt0038753,1946
245,Silver on the Sage (1939),0.0016173317786888329,USA,tt0031925,1939
246,Swedish Erotica 16 (1981),0.0016173317786888329,USA,tt0222415,1981
247,Otoko wa tsurai yo: Boukyou hen (1970),0.0016173317786888329,Japan,tt0066190,1970
248,The Mummy (1932),0.0016173317786888329,USA,tt0023245,1932
249,Range Defenders (1937),0.0016173317786888329,USA,tt0029462,1937
250,The Elephant Man (1980),0.0016173317786888329,USA,tt0080678,1980
251,Saw (2004),0.0016173317786888329,USA,tt0387564,2004
252,Freaks (1932),0.0016173317786888329,USA,tt0022913,1932
253,Sora no daikaijû Radon (1956),0.0016173317786888329,Japan,tt0049782,1956
254,Edward Scissorhands (1990),0.0016173317786888329,USA,tt0099487,1990
255,Se7en (1995),0.0015797194117425808,USA,tt0114369,1995
256,Rambo III (1988),0.0015797194117425808,USA,tt0095956,1988
257,Swedish Erotica 18 (1981),0.0015797194117425808,USA,tt0222417,1981
258,The Usual Suspects (1995),0.0015797194117425808,USA,tt0114814,1995
259,Swedish Erotica 17 (1981),0.0015797194117425808,USA,tt0222416,1981
260,Charlie Chan's Chance (1932),0.0015797194117425808,USA,tt0022755,1932
261,Platoon (1986),0.0015797194117425808,USA,tt0091763,1986
262,Charlie Chan's Greatest Case (1933),0.0015797194117425808,USA,tt0023881,1933
263,Renegade Trail (1939),0.0015797194117425808,USA,tt0031847,1939
264,Otoko wa tsurai yo: Junjô hen (1971),0.0015797194117425808,Japan,tt0071953,1971
265,Hard Boiled Mahoney (1947),0.0015797194117425808,USA,tt0039447,1947
266,Heart of the Rockies (1937),0.0015797194117425808,USA,tt0028986,1937
267,Kingu Kongu tai Gojira (1962),0.0015797194117425808,"Japan,USA",tt13364334,1962
268,Love Story (1970),0.001542107044796329,USA,tt9076170,1970
269,The Return of the Living Dead (1985),0.001542107044796329,USA,tt0089907,1985
270,The Adventures of Robin Hood (1938),0.001542107044796329,USA,tt0029843,1938
271,Super Fly (1972),0.001542107044796329,USA,tt0069332,1972
272,Otoko wa tsurai yo: Funto hen (1971),0.001542107044796329,Japan,tt0067539,1971
273,The Trigger Trio (1937),0.001542107044796329,USA,tt0029692,1937
274,Charlie Chan in London (1934),0.001542107044796329,USA,tt0024968,1934
275,News Hounds (1947),0.001542107044796329,USA,tt0039656,1947
276,Swedish Erotica 19 (1981),0.001542107044796329,USA,tt0222418,1981
277,The Deer Hunter (1978),0.001542107044796329,USA,tt0077416,1978
278,Range War (1939),0.001542107044796329,USA,tt0031838,1939
279,Lady and the Tramp (1955),0.0015044946778500772,USA,tt0048280,1955
280,The Untouchables (1987),0.0015044946778500772,USA,tt0094226,1987
281,Hesokuri shachô (1956),0.0015044946778500772,Japan,tt0298363,1956
282,The Phantom of the Opera (1925),0.0015044946778500772,USA,tt0016220,1925
283,What Ever Happened to Baby Jane? (1962),0.0015044946778500772,USA,tt0056687,1962
284,Wild Horse Rodeo (1937),0.0015044946778500772,USA,tt0029776,1937
285,Bowery Buckaroos (1947),0.0015044946778500772,USA,tt0039216,1947
286,The Toxic Avenger (1984),0.0015044946778500772,USA,tt0090190,1984
287,Otoko wa tsurai yo: Torajiro koiuta (1971),0.0015044946778500772,Japan,tt0067540,1971
288,Thunderball (1965),0.0015044946778500772,USA,tt0059800,1965
289,Austin Powers: The Spy Who Shagged Me (1999),0.0015044946778500772,USA,tt0145660,1999
290,Army of Darkness (1992),0.0015044946778500772,USA,tt0106308,1992
291,Conan the Barbarian (1982),0.0015044946778500772,USA,tt0082198,1982
292,A Few Good Men (1992),0.0015044946778500772,USA,tt0104257,1992
293,Law of the Pampas (1939),0.0015044946778500772,USA,tt0031557,1939
294,The Wild One (1953),0.0015044946778500772,USA,tt0047677,1953
295,Speed (1994),0.0015044946778500772,USA,tt0111257,1994
296,Charlie Chan's Courage (1934),0.0015044946778500772,USA,tt0024969,1934
297,Austin Powers: International Man of Mystery (1997),0.0014668823109038251,USA,tt0118655,1997
298,All About Eve (1950),0.0014668823109038251,USA,tt0042192,1950
299,The Purple Vigilantes (1938),0.0014668823109038251,USA,tt0030636,1938
300,Otoko wa tsurai yo: Shibamata bojo (1972),0.0014668823109038251,Japan,tt0069051,1972
301,Cujo (1983),0.0014668823109038251,USA,tt0085382,1983
302,Star Wars: Episode II - Attack of the Clones (2002),0.0014668823109038251,USA,tt0121765,2002
303,Boogie Nights (1997),0.0014668823109038251,USA,tt0118749,1997
304,The Night of the Hunter (1955),0.0014668823109038251,USA,tt0048424,1955
305,Swedish Erotica 20 (1981),0.0014668823109038251,USA,tt0222419,1981
306,Song of the South (1946),0.0014668823109038251,USA,tt0038969,1946
307,Driving Miss Daisy (1989),0.0014668823109038251,USA,tt0097239,1989
308,Santa Fe Marshal (1940),0.0014668823109038251,USA,tt0033020,1940
309,Angels' Alley (1948),0.0014668823109038251,USA,tt0040097,1948
310,Fargo (1996),0.0014668823109038251,USA,tt0116282,1996
311,Schindler's List (1993),0.0014668823109038251,USA,tt0108052,1993
312,Charlie Chan in Paris (1935),0.0014292699439575733,USA,tt0026198,1935
313,Yôjinbô (1961),0.0014292699439575733,Japan,tt0055630,1961
314,The Fly (1958),0.0014292699439575733,USA,tt0051622,1958
315,Zoku hesokuri shacho (1956),0.0014292699439575733,Japan,tt0298615,1956
316,Jinx Money (1948),0.0014292699439575733,USA,tt0040489,1948
317,THX 1138 (1971),0.0014292699439575733,USA,tt0066434,1971
318,The Showdown (1940),0.0014292699439575733,USA,tt0033047,1940
319,Brokeback Mountain (2005),0.0014292699439575733,USA,tt0388795,2005
320,Otoko wa tsurai yo: Torajiro yumemakura (1972),0.0014292699439575733,Japan,tt0069052,1972
321,Swedish Erotica 24 (1981),0.0014292699439575733,USA,tt0222422,1981
322,Day of the Dead (1985),0.0014292699439575733,USA,tt0088993,1985
323,Call the Mesquiteers (1938),0.0014292699439575733,USA,tt0029962,1938
324,Swedish Erotica 25 (1981),0.0013916575770113212,USA,tt0224192,1981
325,Otoko wa tsurai yo: Torajiro wasurenagusa (1973),0.0013916575770113212,Japan,tt0070495,1973
326,Beauty and the Beast (1991),0.0013916575770113212,USA,tt0101414,1991
327,Harikiri shacho (1956),0.0013916575770113212,Japan,tt0298357,1956
328,American Graffiti (1973),0.0013916575770113212,USA,tt0069704,1973
329,The Bridge on the River Kwai (1957),0.0013916575770113212,USA,tt0050212,1957
330,Stagecoach War (1940),0.0013916575770113212,USA,tt0033099,1940
331,The Warriors (1979),0.0013916575770113212,USA,tt0080120,1979
332,Akira (1988),0.0013916575770113212,Japan,tt0094625,1988
333,Outlaws of Sonora (1938),0.0013916575770113212,USA,tt0030538,1938
334,Hidden Gold (1940),0.0013916575770113212,USA,tt0032592,1940
335,Charlie Chan in Egypt (1935),0.0013916575770113212,USA,tt0026197,1935
336,Batman Returns (1992),0.0013916575770113212,USA,tt0103776,1992
337,Smugglers' Cove (1948),0.0013916575770113212,USA,tt0040805,1948
338,Cabaret (1972),0.0013916575770113212,USA,tt0068327,1972
339,Avatar (2009),0.0013540452100650694,USA,tt0499549,2009
340,Swedish Erotica 29 (1981),0.0013540452100650694,USA,tt0224194,1981
341,Mommie Dearest (1981),0.0013540452100650694,USA,tt0082766,1981
342,Charlie Chan in Shanghai (1935),0.0013540452100650694,USA,tt0026199,1935
343,The Right Stuff (1983),0.0013540452100650694,USA,tt0086197,1983
344,Oshaberi shacho (1957),0.0013540452100650694,Japan,tt0298489,1957
345,Trouble Makers (1948),0.0013540452100650694,USA,tt0040905,1948
346,Ringu (1998),0.0013540452100650694,Japan,tt0178868,1998
347,Otoko wa tsurai yo: Watashi no tora-san (1973),0.0013540452100650694,Japan,tt0070496,1973
348,Tang shan da xiong (1971),0.0013540452100650694,Hong Kong,tt0067824,1971
349,The Slumber Party Massacre (1982),0.0013540452100650694,USA,tt0084695,1982
350,Three Men from Texas (1940),0.0013540452100650694,USA,tt0033160,1940
351,White Heat (1949),0.0013540452100650694,USA,tt0042041,1949
352,Re-Animator (1985),0.0013540452100650694,USA,tt0089885,1985
353,Riders of the Black Hills (1938),0.0013540452100650694,USA,tt0030681,1938
354,Pals of the Saddle (1938),0.0013540452100650694,USA,tt0030550,1938
355,The Lord of the Rings: The Two Towers (2002),0.0013164328431188174,USA,tt0167261,2002
356,Swedish Erotica 30 (1981),0.0013164328431188174,USA,tt0224195,1981
357,Otoko wa tsurai yo: Torajiro koiyatsure (1974),0.0013164328431188174,Japan,tt0071954,1974
358,Fiddler on the Roof (1971),0.0013164328431188174,USA,tt0067093,1971
359,Child's Play (1988),0.0013164328431188174,USA,tt0094862,1988
360,The Dark Knight (2008),0.0013164328431188174,USA,tt0468569,2008
361,Heroes of the Hills (1938),0.0013164328431188174,USA,tt0030230,1938
362,Charlie Chan's Secret (1936),0.0013164328431188174,USA,tt0027442,1936
363,Mr. Smith Goes to Washington (1939),0.0013164328431188174,USA,tt0031679,1939
364,Shane (1953),0.0013164328431188174,USA,tt0046303,1953
365,Shachô sandaiki (1958),0.0013164328431188174,Japan,tt0298547,1958
366,Rebecca (1940),0.0013164328431188174,USA,tt0032976,1940
367,The Thing from Another World (1951),0.0013164328431188174,USA,tt0044121,1951
368,Fighting Fools (1949),0.0013164328431188174,USA,tt0041360,1949
369,Duck Soup (1933),0.0013164328431188174,USA,tt0023969,1933
370,Beetlejuice (1988),0.0013164328431188174,USA,tt0094721,1988
371,Them! (1954),0.0012788204761725655,USA,tt0047573,1954
372,The Pink Panther (1963),0.0012788204761725655,USA,tt0057413,1963
373,Swedish Erotica 31 (1981),0.0012788204761725655,USA,tt0224196,1981
374,Zoku shachô sandaiki (1958),0.0012788204761725655,Japan,tt0314955,1958
375,The Crow (1994),0.0012788204761725655,USA,tt0109506,1994
376,Rocky IV (1985),0.0012788204761725655,USA,tt0089927,1985
377,The Nightmare Before Christmas (1993),0.0012788204761725655,USA,tt0107688,1993
378,Death Wish (1974),0.0012788204761725655,USA,tt0071402,1974
379,The Jazz Singer (1927),0.0012788204761725655,USA,tt0018037,1927
380,Finding Nemo (2003),0.0012788204761725655,USA,tt0266543,2003
381,Pink Flamingos (1972),0.0012788204761725655,USA,tt0069089,1972
382,True Romance (1993),0.0012788204761725655,USA,tt0108399,1993
