tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
tt0049778,Somebody Up There Likes Me (1956),USA,0.0001128371008387,5.1335083416214985e-05,0.0,5.472406141830499e-05
tt0035553,White Cargo (1942),USA,0.0001128371008387,5.102461139378134e-05,0.0,5.4620570744160445e-05
tt0035157,Orchestra Wives (1942),USA,0.0001128371008387,3.997213226747994e-05,1.0853769730141909e-05,5.4554334278773946e-05
tt0027088,Thanks a Million (1935),USA,7.522473389250385e-05,8.838831546282764e-05,0.0,5.453768311844383e-05
tt0093206,Hong gao liang (1987),China,0.0001128371008387,5.071290301315373e-05,0.0,5.451666795061791e-05
tt4064028,Hoodwinked! (2005),USA,0.0001128371008387,2.3809294319212e-05,2.685297936141417e-05,5.449979150644205e-05
tt0097235,The Dream Team (1989),USA,7.522473389250385e-05,2.3933958406316907e-05,6.42256460455361e-05,5.4461446114785615e-05
tt0027367,Black Legion (1937),USA,7.522473389250385e-05,5.8198648294626e-05,2.9808298996673262e-05,5.441056039460104e-05
tt0061791,How to Succeed in Business Without Really Trying (1967),USA,0.0001128371008387,4.689300810328949e-05,3.371131880056524e-06,5.4367080274015337e-05
tt0032590,Hi-Yo Silver (1940),USA,0.0001128371008387,5.015997329239722e-05,0.0,5.4332358043699074e-05
tt0029222,Maytime (1937),USA,7.522473389250385e-05,7.993522147241913e-05,7.81504231592175e-06,5.4324999226948244e-05
tt0040705,Portrait of Jennie (1948),USA,0.0001128371008387,5.011486802508444e-05,0.0,5.431732295459481e-05
tt0025617,The Painted Veil (1934),USA,7.522473389250385e-05,8.770162913230623e-05,0.0,5.43087876749367e-05
tt0070653,Scorpio (1973),USA,0.0001128371008387,5.005831345349719e-05,0.0,5.429847143073239e-05
tt0985584,All About Sex of All Nations (1971),USA,0.0001128371008387,5.003928447017533e-05,0.0,5.4292128436291775e-05
tt0032184,Adventures of Red Ryder (1940),USA,0.0001128371008387,5.000180708804732e-05,0.0,5.427963597558244e-05
tt0072610,The Adventures of the Wilderness Family (1975),USA,0.0001128371008387,4.985601676478932e-05,0.0,5.423103920116311e-05
tt0014341,Our Hospitality (1923),USA,0.0001128371008387,4.9852167929361616e-05,0.0,5.422975625602054e-05
tt2802144,Kingsman: The Secret Service (2014),USA,0.0001128371008387,3.5225563710562376e-05,1.4608682979297923e-05,5.42237825095201e-05
tt0079709,Penitentiary (1979),USA,0.0001128371008387,4.978485364440392e-05,0.0,5.420731816103464e-05
tt0089206,Ginga-tetsudô no yoru (1985),Japan,0.0001128371008387,4.976295390661988e-05,0.0,5.420001824843996e-05
tt0036591,Ali Baba and the Forty Thieves (1944),USA,0.0001128371008387,4.972087148988522e-05,0.0,5.418599077619507e-05
tt0026261,Dangerous (1935),USA,0.0001128371008387,4.95219225413528e-05,0.0,5.41196744600176e-05
tt0204058,Winter Soldier (1972),USA,0.0001128371008387,4.927687221843967e-05,0.0,5.4037991019046554e-05
tt0486822,Disturbia (2007),USA,0.0001128371008387,4.632569521605048e-05,2.761945380048106e-06,5.397491381159953e-05
