,Film,PageRank Score,Country,tconst,Year
164,C'era una volta il West (1968),0.0005000849419180552,USA,tt0064116,1968
165,The Sound of Music (1965),0.0004976315828333012,USA,tt0059742,1965
166,Scarface (1932),0.0004967564583899717,USA,tt0023427,1932
167,Pinocchio (1940),0.0004963808339771078,USA,tt0032910,1940
168,Close Encounters of the Third Kind (1977),0.0004957257992104804,USA,tt0075860,1977
169,The Son of Tarzan (1920),0.0004948129698376035,USA,tt0011717,1920
170,Miyamoto Musashi kanketsuhen: kettô Ganryûjima (1956),0.0004924670026542755,Japan,tt0049710,1956
171,She Wore a Yellow Ribbon (1949),0.0004917012188569926,USA,tt0041866,1949
172,Peter Pan (1953),0.00048744051917621185,USA,tt0046183,1953
173,Lady and the Tramp (1955),0.0004852969268393578,USA,tt0048280,1955
174,Mr. Smith Goes to Washington (1939),0.0004844716809301432,USA,tt0031679,1939
175,The Omen (1976),0.0004842000475518013,USA,tt0075005,1976
176,The Gorilla (1927),0.0004841358833374383,USA,tt0021923,1927
177,The Gorilla (1930),0.0004841358833374383,USA,tt0021923,1930
178,The Zodiac Killer (1971),0.00048305240370756156,USA,tt0143016,1971
179,Top Gun (1986),0.00047829766948431014,USA,tt0092099,1986
180,The Great Escape (1963),0.0004782958666495372,USA,tt0057115,1963
181,Resurrection (1927),0.0004737130119695856,USA,tt0018318,1927
182,The Blues Brothers (1980),0.00047047081518680533,USA,tt0080455,1980
183,Blood Feast (1963),0.00046470984485887123,USA,tt0056875,1963
184,Butch Cassidy and the Sundance Kid (1969),0.0004626806278427138,USA,tt0064115,1969
185,Hesokuri shachô (1956),0.000452615969063933,Japan,tt0298363,1956
186,Black Christmas (1974),0.0004525002569518355,USA,tt0071222,1974
187,Treasure Island (1950),0.0004495929151358576,USA,tt0043067,1950
188,Revenge of the Creature (1955),0.0004491219554345306,USA,tt0048554,1955
189,The French Connection (1971),0.0004438713999812351,USA,tt0067116,1971
190,Miyamoto Musashi (1954),0.0004427646039025045,Japan,tt0047444,1954
191,The Seven Year Itch (1955),0.00044189071444230904,USA,tt0048605,1955
192,Heavy Metal (1981),0.0004411332338703855,USA,tt0082509,1981
193,Dawn of the Dead (1978),0.00044071424966191965,USA,tt0077402,1978
194,Flash Gordon (1936),0.00043984862551991636,USA,tt0027623,1936
195,He Couldn't Take It (1933),0.0004371996285293755,USA,tt0024094,1933
196,Full Metal Jacket (1987),0.0004327196269788237,USA,tt0093058,1987
197,Alice in Wonderland (1951),0.0004315489133141232,USA,tt0043274,1951
198,Freaks (1932),0.00042851507663615063,USA,tt0022913,1932
199,Sunset Blvd. (1950),0.0004282490320769036,USA,tt0043014,1950
200,The Collector (1965),0.0004280664631204123,USA,tt0059043,1965
201,Shaft (1971),0.00042543678282298716,USA,tt0067741,1971
202,Evil Dead II (1987),0.0004240901600442174,USA,tt0092991,1987
203,Rambo: First Blood Part II (1985),0.0004208933060344726,USA,tt0089880,1985
204,The Last House on the Left (1972),0.00041581960587976904,USA,tt0068833,1972
205,Batman (1989),0.00041153579132880796,USA,tt0096895,1989
206,Bringing Up Baby (1938),0.0004095822290045677,USA,tt0029947,1938
207,When Worlds Collide (1951),0.0004081741285046857,USA,tt0044207,1951
208,Poltergeist (1982),0.00040713498081931625,USA,tt0084516,1982
209,The Gold Diggers (1923),0.0004056975862127333,USA,tt0014090,1923
210,Double Indemnity (1944),0.0004053245226784791,USA,tt0036775,1944
211,The Awful Truth (1937),0.00040341766216890694,USA,tt0028597,1937
212,One Flew Over the Cuckoo's Nest (1975),0.0004030627802181699,USA,tt0073486,1975
213,Little Caesar (1931),0.00039964197397876104,USA,tt0021079,1931
214,The Public Enemy (1931),0.00039635220285176315,USA,tt0022286,1931
215,Day of the Woman (1978),0.00039559965572189524,USA,tt0077713,1978
216,Reservoir Dogs (1992),0.00039360023834152,USA,tt0105236,1992
217,Rebecca (1940),0.0003933635335374301,USA,tt0032976,1940
218,The Rocky Horror Picture Show (1975),0.00039211710776815517,USA,tt0073629,1975
219,42nd Street (1933),0.00039169341778032545,USA,tt0024034,1933
220,The Elephant Man (1980),0.0003902250280473157,USA,tt0080678,1980
221,All the President's Men (1976),0.0003897403763937649,USA,tt0074119,1976
222,The Revenge of Tarzan (1920),0.00038862298192734844,USA,tt0011624,1920
223,Sergeant York (1941),0.00038716062597834647,USA,tt0034167,1941
224,Chinatown (1974),0.00038549850608030707,USA,tt0071315,1974
225,Harvey (1950),0.0003838802590085674,USA,tt0042546,1950
226,The Lone Ranger (1938),0.00038183313381354395,USA,tt0030382,1938
227,Gold Diggers of 1933 (1933),0.0003802113998519924,USA,tt0024069,1933
228,Yankee Doodle Dandy (1942),0.00037874623264987377,USA,tt0035575,1942
229,Forrest Gump (1994),0.0003781795798442158,USA,tt0109830,1994
230,Jerry Maguire (1996),0.0003770080485422188,USA,tt0116695,1996
231,Zatôichi monogatari (1962),0.0003746923834275619,Japan,tt0056714,1962
232,Cat People (1942),0.00036924951098348625,USA,tt0034587,1942
233,The Lion King (1994),0.0003684338388143805,USA,tt14571278,1994
234,"Now, Voyager (1942)",0.00036670420450821085,USA,tt0035140,1942
235,The Wolf Man (1941),0.0003666607988005959,USA,tt0034398,1941
236,The Italian (1915),0.00036659822968620185,USA,tt0005557,1915
237,Young Frankenstein (1974),0.00036618370079708444,USA,tt0072431,1974
238,Stagecoach War (1940),0.00036524057785856814,USA,tt0033099,1940
239,Suspicion (1941),0.00036482321763381815,USA,tt0034248,1941
240,Annie Hall (1977),0.00036479977291966183,USA,tt0075686,1977
241,Silver on the Sage (1939),0.0003643745872125234,USA,tt0031925,1939
242,Lethal Weapon (1987),0.0003638823111369165,USA,tt0093409,1987
243,The Godfather: Part II (1974),0.0003630125986933628,USA,tt0071562,1974
244,The Stepford Wives (1975),0.0003621253907346109,USA,tt0073747,1975
245,TRON (1982),0.0003602216052813597,USA,tt0084827,1982
246,Winchester '73 (1950),0.0003591738733328845,USA,tt0043137,1950
247,The 7th Voyage of Sinbad (1958),0.00035894383757190487,USA,tt0051337,1958
248,Rain Man (1988),0.000356103042047919,USA,tt0095953,1988
249,Conan the Barbarian (1982),0.00035540760025640266,USA,tt0082198,1982
250,Some Like It Hot (1959),0.0003551566114525048,USA,tt0053291,1959
251,Thunderball (1965),0.00035475166939106975,USA,tt0059800,1965
252,Lost Horizon (1937),0.000353565675758806,USA,tt0029162,1937
253,Little Big Man (1970),0.0003501131476853308,USA,tt0065988,1970
254,Part Time Wife (1930),0.0003490200777113134,USA,tt0021237,1930
255,Gojira no gyakushû (1955),0.000348982709365549,Japan,tt0048127,1955
256,The Big Heat (1953),0.00034701406263179643,USA,tt0045555,1953
257,In Like Flint (1967),0.0003463740661145482,USA,tt0061810,1967
258,Maniac (1980),0.00034502456008332416,USA,tt0081114,1980
259,Arsenic and Old Lace (1944),0.00034362272845076826,USA,tt0036613,1944
260,You Can't Take It with You (1938),0.00034328398745928475,USA,tt0030993,1938
261,Woodstock (1970),0.0003428062585206355,USA,tt0066580,1970
262,Babes in Toyland (1961),0.0003373671103079335,USA,tt0054649,1961
263,Rocky III (1982),0.0003371223193561425,USA,tt0084602,1982
264,The Blair Witch Project (1999),0.00033639187297959195,USA,tt0185937,1999
265,High Noon (1952),0.0003351452615481344,USA,tt0044706,1952
266,The Great Lie (1941),0.00033473037625133926,USA,tt0033677,1941
267,Swing Your Lady (1938),0.00033421857727077773,USA,tt0030820,1938
268,The Pride and the Passion (1957),0.0003340888134480329,USA,tt0050858,1957
269,Babes in Toyland (1934),0.0003336925419729378,USA,tt0024852,1934
270,Tôkyô monogatari (1953),0.00033337803641136086,Japan,tt0046438,1953
271,Carnival of Souls (1962),0.00033316644160781295,USA,tt0055830,1962
272,A Family Affair (1937),0.0003329204705958681,USA,tt0028850,1937
273,The Thing (1982),0.0003325796560543592,USA,tt0084787,1982
274,White Zombie (1932),0.0003315259727494919,USA,tt0023694,1932
275,Three Men from Texas (1940),0.00032898546728580966,USA,tt0033160,1940
276,Kagemusha (1980),0.0003281615367921088,"Japan,USA",tt0080979,1980
277,Kakushi-toride no san-akunin (1958),0.0003267474274788439,Japan,tt0051808,1958
278,Sora no daikaijû Radon (1956),0.0003248711167433292,Japan,tt0049782,1956
279,Roman Holiday (1953),0.0003244036190709853,USA,tt0046250,1953
280,The Devil's Brother (1933),0.000324131474572258,USA,tt0023943,1933
281,The Saint in New York (1938),0.0003227258380445433,USA,tt0030709,1938
282,It Happened One Night (1934),0.0003206183721296618,USA,tt0025316,1934
283,Tarzan and the Golden Lion (1927),0.00032053486037217095,USA,tt0018464,1927
284,Five Easy Pieces (1970),0.00032031457572502623,USA,tt0065724,1970
285,Blondie (1938),0.0003192511463861709,USA,tt0029927,1938
286,Predator (1987),0.000318269136069706,USA,tt0093773,1987
287,Foreign Correspondent (1940),0.0003167281564637494,USA,tt0032484,1940
288,Patton (1970),0.0003151142023475306,USA,tt0066206,1970
289,Sudden Impact (1983),0.000314102541380297,USA,tt0086383,1983
290,Angels with Dirty Faces (1938),0.00031387292403462554,USA,tt0029870,1938
291,The Defiant Ones (1958),0.0003131382635286828,USA,tt0051525,1958
292,The Night of the Hunter (1955),0.00031133134280612846,USA,tt0048424,1955
293,The Dawn Patrol (1938),0.0003100548248587525,USA,tt0030044,1938
294,Red River (1948),0.0003077893453012492,USA,tt0040724,1948
295,Onibaba (1964),0.00030691473865102965,Japan,tt0058430,1964
296,Inherit the Wind (1960),0.0003062846602825256,USA,tt0053946,1960
297,The Mummy (1932),0.0003055976808522516,USA,tt0023245,1932
298,Body and Soul (1947),0.0003054826865479204,USA,tt0039204,1947
299,Our Man Flint (1966),0.0003048668100919324,USA,tt0059557,1966
300,Goodfellas (1990),0.00030328608007642444,USA,tt0099685,1990
301,Animal Farm (1954),0.0003030712896575442,USA,tt0047834,1954
302,Samson and Delilah (1949),0.00030271413816636435,USA,tt0041838,1949
303,The Postman Always Rings Twice (1946),0.00030218811677175123,USA,tt0038854,1946
304,The Thing from Another World (1951),0.0003006018453142581,USA,tt0044121,1951
305,It! The Terror from Beyond Space (1958),0.00029966622170368273,USA,tt0051786,1958
306,Breakfast at Tiffany's (1961),0.0002984255919403319,USA,tt0054698,1961
307,Bullitt (1968),0.00029821455074633454,USA,tt0062765,1968
308,Dead End (1937),0.0002979725671910826,USA,tt0028773,1937
309,The Range Busters (1940),0.0002960035344645268,USA,tt0032971,1940
310,Midnight Cowboy (1969),0.00029421947054750805,USA,tt0064665,1969
311,Love Story (1970),0.00029317460738538146,USA,tt9076170,1970
312,The Jazz Singer (1927),0.00029239572373625895,USA,tt0018037,1927
313,Rio Bravo (1959),0.00029181810512323233,USA,tt0053221,1959
314,Gremlins (1984),0.0002918017478030708,USA,tt0087363,1984
315,Network (1976),0.0002915068650880986,USA,tt0074958,1976
316,Ghost-Town Gold (1936),0.0002905435710055101,USA,tt0027670,1936
317,The Lord of the Rings: The Fellowship of the Ring (2001),0.0002890389055673603,USA,tt0120737,2001
318,The Tragedy of Othello: The Moor of Venice (1951),0.00028856166342495766,USA,tt0045251,1951
319,Cleopatra (1934),0.00028851389256850756,USA,tt0024991,1934
320,In Fast Company (1946),0.00028838992893141135,USA,tt0038636,1946
321,Swedish Erotica 26 (1981),0.0002879387569535555,USA,tt0188218,1981
322,Grease (1978),0.00028726896862647837,USA,tt0077631,1978
323,The Thin Man (1934),0.00028567009895256995,USA,tt0025878,1934
324,One Hundred and One Dalmatians (1961),0.0002842224007603049,USA,tt0055254,1961
325,Yûsei ôji (1959),0.00028383765358029427,Japan,tt0053464,1959
326,Souls at Sea (1937),0.00028169323423811275,USA,tt0029593,1937
327,Mystery of the Wax Museum (1933),0.0002813784878320228,USA,tt0024368,1933
328,Carefree (1938),0.0002785396306229409,USA,tt0029971,1938
329,Debbie Does Dallas (1978),0.00027748382975147697,USA,tt0077415,1978
330,House of Wax (1953),0.0002765796833338102,USA,tt0045888,1953
331,The King of Kings (1927),0.0002760827388210605,USA,tt0018054,1927
332,The Chinese Parrot (1927),0.00027484979561080556,USA,tt0017752,1927
333,Kigeki ekimae ryokan (1958),0.00027448254850455714,Japan,tt0322146,1958
334,The Shawshank Redemption (1994),0.00027433978888593164,USA,tt0111161,1994
335,Invaders from Mars (1953),0.00027401741449542484,USA,tt0045917,1953
336,Internes Can't Take Money (1937),0.000273907137706466,USA,tt0029050,1937
337,Fight Club (1999),0.00027349231645111793,USA,tt0137523,1999
338,The Night Rider (1932),0.00027301087780638543,USA,tt0023270,1932
339,Tarzan the Mighty (1928),0.00027281988295398525,USA,tt0019447,1928
340,Willy Wonka & the Chocolate Factory (1971),0.0002722027148070305,USA,tt0067992,1971
341,The Dawn Patrol (1930),0.0002719339222827996,USA,tt0020815,1930
342,The Hustler (1961),0.0002718428917556419,USA,tt0054997,1961
343,Invisible Invaders (1959),0.00027157311951768855,USA,tt0052929,1959
344,Renegade Trail (1939),0.0002702137528613205,USA,tt0031847,1939
345,Phantasm (1979),0.00026948924101421405,USA,tt0079714,1979
346,The Phantom of the Opera (1925),0.0002686456977605606,USA,tt0016220,1925
347,Flash Gordon Conquers the Universe (1940),0.00026837129090114047,USA,tt0032475,1940
348,The Pink Panther (1963),0.00026811146241104475,USA,tt0057413,1963
349,Zoku otoko wa tsurai yo (1969),0.00026803084537324373,Japan,tt0066607,1969
350,Hop-a-Long Cassidy (1935),0.00026788147478025226,USA,tt0026493,1935
351,The Blob (1958),0.0002675246525716391,USA,tt0051418,1958
352,The War of the Worlds (1953),0.00026732144321069297,USA,tt0046534,1953
353,Duck Soup (1933),0.00026633086597697893,USA,tt0023969,1933
354,Serpico (1973),0.0002656122761679297,USA,tt0070666,1973
355,The Wild One (1953),0.00026560256122179016,USA,tt0047677,1953
356,Notorious (1946),0.0002644844449925837,USA,tt0038787,1946
357,Dog Day Afternoon (1975),0.0002634858271026122,USA,tt0072890,1975
358,Indiana Jones and the Temple of Doom (1984),0.00026208170478138554,USA,tt0087469,1984
359,Boston Blackie's Little Pal (1918),0.0002617349821128214,USA,tt0182850,1918
360,Wong Fei Hung (1991),0.000261580690504811,Hong Kong,tt0103285,1991
361,This Is Spinal Tap (1984),0.00026095907202241945,USA,tt0088258,1984
362,The Pride of the Yankees (1942),0.0002602200923476728,USA,tt0035211,1942
363,Thelma & Louise (1991),0.0002600357577773552,USA,tt0103074,1991
364,Xia nü (1971),0.0002594162800953027,"Hong Kong,Taiwan",tt0064451,1971
365,The Conversation (1974),0.0002586962240333147,USA,tt0071360,1974
366,American Graffiti (1973),0.0002582499824787288,USA,tt0069704,1973
367,Fantasia (1940),0.0002581732653575881,USA,tt0032455,1940
368,The Breakfast Club (1985),0.00025697291470080913,USA,tt0088847,1985
369,The Sword in the Stone (1963),0.0002564571759780043,USA,tt0057546,1963
370,The Sheik (1921),0.00025547698005284046,USA,tt0012675,1921
371,Gunga Din (1939),0.00025537066863953435,USA,tt0031398,1939
372,The Fly (1986),0.0002548688693400074,USA,tt0091064,1986
373,Here Comes Kelly (1943),0.0002546948699373068,USA,tt0035988,1943
374,Tarzan Escapes (1936),0.0002532179024477163,USA,tt0028345,1936
375,48 Hrs. (1982),0.000253005571511131,USA,tt0083511,1982
376,The Seventh Victim (1943),0.00025249208279881554,USA,tt0036341,1943
377,Ziegfeld Follies (1945),0.0002509037039000822,USA,tt0039116,1945
378,Dracula's Daughter (1936),0.0002508463804799404,USA,tt0027545,1936
379,Blue Velvet (1986),0.00024956180676219967,USA,tt0090756,1986
380,The Sign of the Cross (1932),0.00024913499831017945,USA,tt0023470,1932
381,San Francisco (1936),0.0002488047721222657,USA,tt0028216,1936
382,Seven Years Bad Luck (1921),0.0002478191116908487,USA,tt0127834,1921
383,Flashdance (1983),0.0002471904705009193,USA,tt0085549,1983
384,The Big Parade (1925),0.00024633726678656084,USA,tt0015624,1925
385,Animal Crackers (1930),0.0002457377883021516,USA,tt0020640,1930
386,Dark Star (1974),0.00024569441586299635,USA,tt0069945,1974
